english,chinese,symbol,symbol_br,phrase,similar,unit
map,"n.地图,图v.绘制地图 [计]由LINK工具生成的一种文本文件,其中包含有被连接的程序的某些信息,例如程序中的组信息和公共符号信息等",mæp,mæp,,,unit-14
maple,"n.[植]枫,枫木,淡棕色",`mepl,ˈmeipl,,,unit-14
mark,"n.标志,分数,痕迹,记号vt.做标记于,打分数,标志vi.作记号 Mark 马克(男子名)",mɑrk,mɑ:k,,,unit-14
market,"n.市场,销路,行情vt.在市场上交易,使上市vi.在市场上买卖",`mɑrkɪt,ˈmɑ:kit,,,unit-15
marry,"vt.娶,嫁,和...结婚",`mærɪ,ˈmæri,,,unit-15
mask,"n.面具,掩饰,石膏面像vt.戴面具,掩饰,使模糊vi.化装,戴面具,掩饰,参加化装舞会",mæsk,mɑ:sk,,,unit-15
match,"n.火柴,比赛,竞赛,匹配,(足球,捧球,蓝球)比赛v.相配,相称,比赛,相比,匹配",mætʃ,mætʃ,,,unit-15
maths,n.数学,mæθs,mæθs,,,unit-15
matter,"n.事件,问题,物质,内容,实质,原因,(印刷或书写的)文件,(文章或讲话等的)素材vi.有关系,要紧",`mætɚ,ˈmætə,,,unit-15
maybe,"adv.大概,或许n.疑虑","`mebi,_bɪ","ˈmeibi:,_bi",,,unit-15
meal,"n.一餐,一顿饭,膳食,(谷类的)粗粉vi.进餐",mil,mi:l,,,unit-15
mean,"adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的vt.意谓,想要,预定vi.用意,有意义n.平均数,中间,中庸",min,mi:n,,,unit-15
meat,"n.(食用)肉,肉类",mit,mi:t,,,unit-15
meet,"n.会,集会adj.适宜的,合适的vt.遇见,(迎)接,与(某人目光)相遇,(赴约)和...会面,(经介绍)与...相识,对付vi.相遇,接触",mit,mi:t,,,unit-15
meeting,"n.会议,集会,会见,会战,汇合点",`mitɪŋ,ˈmi:tiŋ,,,unit-15
member,"n.成员,会员,议员,(人或动,植物的)一部分,[语]子句,成分,[逻]推论的命题",`mɛmbɚ,ˈmembə,,,unit-15
menu,n.菜单,"`mɛnju,`men_,`mɛnu",ˈmenju:,,,unit-15
merry,"adj.欢乐的,愉快的",`mɛrɪ,ˈmeri,,,unit-15
mess,"n.混乱,脏乱v.弄乱",mɛs,mes,,,unit-15
message,"n.消息,通讯,讯息,音讯,差使,广告词,预言,教训vt.通知vi.带信息",`mɛsɪdʒ,ˈmesidʒ,,,unit-15
might,"v.(past tense,past participle of may see may)n.力量,威力,权力,能,可能 aux.可以",maɪt,mait,,,unit-15
milk,"n.乳,牛奶v.挤(奶)",mɪlk,milk,,,unit-15
mind,"n.头脑,智力,精神,意见,情绪vi.介意,照顾,留心vt.注意,留意,专心于,照看,介意",maɪnd,maind,,,unit-15
minus,"adj.负的,减的 prep.减去n.负数",`maɪnəs,ˈmainəs,,,unit-15
miss,"n.过错,避免,失败,小姐,姑娘vt.未得到,未达到,未听到,思念,未觉察,错过,遗漏,逃脱vi.失败,击不中",mɪs,mis,,,unit-15
mistake,,,,,,unit-15
mobile,"adj.可移动的,易变的,机动的n.运动物体","`mobl,`mobil","ˈmoubail,ˈmoubi:l",,,unit-15
model,"n.样式,型,模范,典型,模型,原型,模特儿vt.模仿v.模拟",`mɑdl,ˈmɔdl,,,unit-15
money,"n.货币,钱,金钱",`mʌnɪ,ˈmʌni,,,unit-15
month,n.月,,,,,unit-15
moon,"n.月球,月亮,卫星",,,,,unit-15
more,"adj.更多的n.更多adv.更,更多,更加,超过,多,大大高于 num.更多","mor,mɔr",mɔ:,,,unit-15
most,"adj.最多的,多数的,大部分的adv.最,最多,很,十分,最,最大的,其中大多数,极其n.大多数,大部分",,,,,unit-15
motorbike,n.摩托车,,,,,unit-15
montain,,,,,,unit-15
mouse,"n.鼠,耗子v.搜寻",,,,,unit-15
move,"n.移动,迁居,步骤vt.移动,感动,鼓动vi.移动,离开,运行,迁移,搬家",,,,,unit-15
movie,n.电影,`muvɪ,ˈmu:vi,,,unit-15
much,"adj.许多的,大量的adv.非常,很,...多,更加,非常,得多,多达,多得多n.许多,大量 num.许多",,,,,unit-16
museum,n.博物馆,"mju`ziəm,`mjuzɪəm",mju:ˈziəm,,,unit-16
music,"n.音乐,乐曲",`mjuzɪk,ˈmju:zik,,,unit-16
must," aux.必须,应当,很可能,一定,必须,肯定,可以",,,,,unit-16
name,"n.名字,名称,姓名,名誉vt.命名,提名,叫出,指定adj.姓名的,据以取名的",nem,neim,,,unit-16
national,"adj.国家的,国立[有]的,民族的",`næʃənl,ˈnæʃənl,,,unit-16
nature,"n.自然,自然界,大自然,自然状态,本性,天性,种类",`netʃɚ,ˈneitʃə,,,unit-16
naughty,"adj.顽皮的,淘气的,不听话的,没规矩的,不适当的,下流的",`nɔtɪ,ˈnɔ:ti,,,unit-16
near,"adj.亲近的,亲密的,近,(车,马等)左侧的,吝啬的adv.(时间,空间方面)近,不远 prep.在...近旁,近...v.接近,走近",nɪr,niə,,,unit-16
nearby,"adj.附近的,邻近的adv.在附近",`nɪrˌbaɪ,ˈniəbai,,,unit-16
need,"n.需要,必需,必需品,要求,贫困vt.需要 modalv.必要,必须",nid,ni:d,,,unit-16
neighbour,n.邻居(美作:neighbor),`nebɚ,ˈneibə,,,unit-16
neither,"adj.pron.两者都不 conj.既不...又不,也不",`niðɚ,"ˈnaiðə,ˈni:ðə",,,unit-16
nervous,"adj.神经紧张的,不安的,强健有力的",`nʒvəs,ˈnə:vəs,,,unit-16
nest,"n.巢,窝,休息所,隐匿处,舒适的地方,(可以一个套一个的)一套器具vi.筑巢,找鸟巢vt.造巢,使套入",nɛst,nest,,,unit-16
never,"adv.决不,从未",`nɛvɚ,ˈnevə,,,unit-16
new,"adj.新的,初见的,更新的adv.新近",,,,,unit-16
news,"n.新闻,消息",,,,,unit-16
newspaper,n.报纸,"`nuzˌpepɚ,`nus_,`nju_","ˈnju:sˌpeipə,ˈnju:zˌp_",,,unit-16
next,"n.adj.下次的,其次的,与...连接,下一个adv.下一次,其次",nɛkst,nekst,,,unit-16
nice,"adj.美好的,和蔼的,正派的,细微的,挑剔的,精密的,拘泥的",naɪs,nais,,,unit-16
no,"n.否定,投反对票者adj.没有,不许,反对adv.不,并不,毫不 [域] Norway ,挪威",,,,,unit-16
nobody," pron.谁也不,无人,任何人,没有任何人","`noˌbɑdɪ,`nobədɪ","ˈnoubədi,ˈnouˌbɔdi",,,unit-16
noise,"n.喧闹声,噪声,噪音",nɔɪz,nɔiz,,,unit-16
noisy,"adj.吵杂的,聒噪的",`nɔɪzɪ,ˈnɔizi,,,unit-16
noodle,"n.面条(常用复数),笨蛋,傻瓜",,,,,unit-16
nose,"n.鼻,(飞机、船等的)前端v.侦察出",,,,,unit-16
not,adv.不,,,,,unit-16
note,"n.笔记,短信,(外交)照会,注解,注释,票据,纸币,音符vt.注意,记录,笔记",,,,,unit-16
notebook,"n.笔记簿,笔记本",,,,,unit-16
nothing,"n.无,不关紧要之事,[数]零adv.毫不,决不int.什么也没有,无",`nʌθɪŋ,ˈnʌθiŋ,,,unit-16
now,"adv.现在,目前,此刻,立刻,马上n.现在,如今 conj.既然",,,,,unit-16
number,"n.数,数字,数量,号码,算术,诗,韵律v.遍号码,共计...,计入,计算,算入",`nʌmbɚ,ˈnʌmbə,,,unit-16
nurse,"n.护士,保姆vt.护理,看护v.照料",nʒs,nə:s,,,unit-16
nut,"n.坚果,螺母,螺帽,难解的问题",,,,,unit-16
of," prep....的,由...制成的,离,关于,对于",,,,,unit-17
office,"n.办公室,办事处,事务所,<英>政府机关,部,公职,职责,帮助","`ɔfɪs,`ɑfɪs",ˈɔfis,,,unit-17
officer,"n.政府官员,军官,警官,船长vt.指挥",`ɔfəsɚ,ˈɔfisə,,,unit-17
oil,"n.油,石油,油类vt.给(机器等)加油,上油,涂油",ɔɪl,ɔil,,,unit-17
old,"adj.年老的,老的,...岁的,陈旧的,古老的",,,,,unit-17
on," prep.在...之上,依附于,临近,靠近,向,在...时候,关于,涉及adv.在上,向前,行动中,作用中","ɑn,ɔn",ɔn,,,unit-17
once,"n.adv.一次,从前,曾经 conj.一旦",,,,,unit-17
only,"adj.唯一的,单独的,最好的,最合适的adv.仅仅,只不过 conj.但是,可是",`onlɪ,ˈounli,,,unit-17
open,"n.公开,户外,空旷adj.开着的,敞开的,(车等)无篷的,开阔的,营业着的,公开的,坦率的,未决定的vt.打开,公开,开放vi.展开,开始,展现",`opən,ˈoupən,,,unit-17
opposite,"adj.相对的,对面的,对立的,相反的,对等的,对应的n.相反的事物",`ɑpəzɪt,ˈɔpəzit,,,unit-17
or," conj.或,或者,还是 [军] Operational Requirement,作战需求 [军] Operations Research,运筹学研究",,,,,unit-17
order,"n.次序,顺序,正常(工作)状态,秩序,会议规则,命令,定购,定单vt.命令,定购,定制",`ɔrdɚ,ˈɔ:də,,,unit-17
other,"adj.其他的,另外的,从前的 pron.其他的,他人,另外一个adv.另外地,不同地",`ʌðɚ,ˈʌðə,,,unit-17
out,"adj.外面的,下台的,出局的adv.在外,出声地,显露出来地,明显地,从头至尾地n.外面,外出,外观vt.赶出,击倒,使退场vi.外出,暴露 prep.通过",,,,,unit-17
outer,"adj.外部的,外面的,远离中心的n.(射击)环外命中",`aʊtɚ,ˈautə,,,unit-17
outside,"n.外面,外表,外界adj.外面的,外表的,外界的adv.在外面,外表,出界 prep.在...外",`aʊt`saɪd,ˌautˈsaid,,,unit-17
over,"adv.结束,越过,从头到尾 prep.在...之上,越过adj.上面的vt.额外的东西,越过n.额外的东西",`ovɚ,ˈouvə,,,unit-17
own,"adj.自己的,特有的,(不用所有格)嫡亲的,同胞的vt.拥有,自认,承认vi.承认",,,,,unit-17
pack,"n.包裹,<贬>一群,一副,背包,包装vt.包装,捆扎,塞满,压紧,挑选vi.包装货物,挤,群集,被包装 背包",pæk,pæk,,,unit-17
packet,"n.小包裹,小捆;v.包装",`pækɪt,ˈpækit,,,unit-17
pain,"n.痛苦,疼,痛,劳苦,努力vt.使痛苦",pen,pein,,,unit-17
paint,"n.油漆,颜料,涂料v.油漆,(用颜料等)画,绘,描绘,逼真地描述",pent,peint,,,unit-17
pair,"n.一对,一双",pɛr,pɛə,,,unit-17
palace,"n.宫,宫殿",`pælɪs,ˈpælis,,,unit-17
panda,"n.熊猫,黑白相间的熊类",`pændə,ˈpændə,,,unit-17
pants,"n.裤子,短裤",pænts,pænts,,,unit-17
paper,"n.纸,报纸,文件,证件,论文,考卷vt.用纸糊(墙壁等),用纸包装adj.纸的,象纸的,纸上的",`pepɚ,ˈpeipə,,,unit-17
pardon,"vt.原谅,宽恕n.原谅,宽恕",`pɑrdn,ˈpɑ:dn,,,unit-17
parent,"n.[pl.] 双亲,父亲(或母亲)",`pɛrənt,ˈpɛərənt,,,unit-17
park,"n.公园,停车场,炮场vt.停放(汽车等)",pɑrk,pɑ:k,,,unit-17
parrot,"n.鹦鹉,学舌者,机械模仿别人的人vt.学舌",`pærət,ˈpærət,,,unit-17
part,"n.部分,局部,零件,角色vt.分开,分离,分配vi.分开,断裂,分手adv.部分地,有几分adj.部分的,局部的",pɑrt,pɑ:t,,,unit-17
party,"n.党,政党,随行人员,[律]当事人,社交会",`pɑrtɪ,ˈpɑ:ti,,,unit-17
pass,"n.经过,关口,途径,护照,通行证,入场券,传球,及格vt.通过,审查通过,忽略,传递vi.经过,变化,流通,宣判,被忽略,终止,传递,不叫牌",pæs,pɑ:s,,,unit-17
passport,n.护照,"`pæsˌport,-ˌpɔrt",ˈpɑ:spɔ:t,,,unit-17
password,"n.密码,口令",,,,,unit-18
past,"n.过去,往时adj.过去的,结束的 prep.越过,晚于 vbl.pass的过去分词",pæst,pɑ:st,,,unit-18
pay,"n.薪水,工资v.支付,交纳,给予,有利,值得,合算",pe,pei,,,unit-18
peace,"n.和平,和睦,安宁,静寂vi.安静下来",pis,pi:s,,,unit-18
peanut,n.花生,`piˌnʌt,ˈpi:nʌt,,,unit-18
pearl,n.珍珠 Pearl 珀尔(女子名),pʒl,pə:l,,,unit-18
pen,"n.钢笔,围栏,围圈,作家vt.写,关入栏中",pɛn,pen,,,unit-18
pencil,n.铅笔,`pɛnsl,ˈpensl,,,unit-18
people,"n.人,人们,民族,人类,公民vt.使住(满)人",`pipl,ˈpi:pl,,,unit-18
perfect,"n.完成式adj.完美的,全然的,理想的,正确的,熟练的,精通的完成式的vt.使完美,修改,使熟练",`pʒfɪkt,ˈpə:fikt,,,unit-18
person,"n.人,身体,容貌,[语法]人称",`pʒsn,ˈpə:sn,,,unit-18
pet,"n.宠物,受宠爱的人,不悦adj.宠爱的,亲昵的vt.宠爱vi.拥抱,爱抚,生气,发脾气",pɛt,pet,,,unit-18
phone,"n.电话,电话机v.(给...)打电话",,,,,unit-18
photo,n.照片,,,,,unit-18
piano,n.钢琴,pɪ`æno,piˈænou,,,unit-18
pick,"n.精选,掘,鹤嘴锄vt.摘,掘,凿,挑选,挖,挑剔vi.摘,掘,凿,挖,挑选v.拾取",pɪk,pik,,,unit-18
picnic,n.野餐vi.(去)野餐,`pɪknɪk,ˈpiknik,,,unit-18
picture,"n.画,图画,照片,像,美景,描述,相似物,化身vt.画,描绘",`pɪktʃɚ,ˈpiktʃə,,,unit-18
pie,"n.馅饼,杂乱,喜鹊,爱说话的人vt.弄乱",paɪ,pai,,,unit-18
piece,"n.块,件,片,篇,张,条,硬币vt.接合,修补,凑合",pis,pi:s,,,unit-18
pig,"n.猪,猪肉,贪婪的人v.生小猪,贪婪地吃",pɪg,piɡ,,,unit-18
pilot,"n.飞行员,领航员,引水员vt.驾驶(飞机等),领航,引水v.驾驶",`paɪlət,ˈpailət,,,unit-18
pity,"v.(觉得)可怜n.憾事,怜悯,同情",`pɪtɪ,ˈpiti,,,unit-18
pizza,n.比萨饼(一种涂有乳酪核番茄酱的意大利式有馅烘饼),,,,,unit-18
place,"n.地方,地点,位置,职位,处境,住所,地位vt.放置,寄予,任命vi.名次列前",ples,pleis,,,unit-18
plan,"n.计划,设计图,平面图vt.计划,设计",plæn,plæn,,,unit-18
plane,"n.平面,飞机,水平,程度,刨adj.平的,平面的v.刨,刨平",plen,plein,,,unit-18
planet,n.[天]行星,`plænɪt,ˈplænit,,,unit-18
plant,"n.植物,庄稼,工厂,车间,设备vt.种植,栽培,培养,安置vi.种植",plænt,plɑ:nt,,,unit-18
plate,"n.盘子,金属板,图版,金银餐具vt.镀(金,银等),电镀,给...装钢板",plet,pleit,,,unit-18
play,"n.游戏,比赛,运动,赌博,剧本v.玩,扮演,播放,进行比赛v.播放",ple,plei,,,unit-18
player,"n.做游戏的人,比赛者,演员,演奏者,表演者",`pleɚ,ˈpleiə,,,unit-18
playground,"n.运动场,操场",`pleˌgraʊnd,ˈpleiɡraund,,,unit-18
please,"adj.满足的vt.请v.使喜欢,中...的意,使满足,取悦",pliz,pli:z,,,unit-18
pleased,"adj.高兴的,满足的",plizd,pli:zd,,,unit-18
plenty,"n.丰富,大量",`plɛntɪ,ˈplenti,,,unit-19
poet,n.诗人,`po.ɪt,ˈpouit,,,unit-19
point,"n.点,尖端,分数,要点,分数vt.弄尖,指向,指出,瞄准,加标点于vi.指,指向,表明",pɔɪnt,pɔint,,,unit-19
police,"n.警察队,警察机关,公安部门vt.管辖,维持治安adj.警察的,有关警察的",pə`lis,pəˈli:s,,,unit-19
polite,"adj.有礼貌的,客气的,有教养的,文雅的",pə`laɪt,pəˈlait,,,unit-19
pond,n.池塘v.筑成池塘,pɑnd,pɔnd,,,unit-19
pool,"n.池,撞球,联营,石油层vt.合伙经营,共享,共有,集中(钱、力量等),采掘,汇聚成vi.汇合成塘,郁积,联营",,,,,unit-19
poor,"adj.贫穷的,可怜的,乏味的,卑鄙的",pʊr,puə,,,unit-19
pop,"n.取出,砰然声,枪击,流行乐曲;adj.流行的,热门的,通俗的;vt.开枪打,抛出,取出,突然伸出,突然行动;adv.突然,砰地;vi.发出爆裂声,爆开,射击,突然出现,瞪大;n.<口>汽水;Post Office Protocol,电子邮件协议",pɑp,pɔp,,,unit-19
popcorn,n.爆米花,`pɑpˌkɔrn,ˈpɔpkɔ:n,,,unit-19
popular,"adj.通俗的,流行的,受欢迎的",`pɑpjəlɚ,ˈpɔpjulə,,,unit-19
post,,,,,,unit-19
postcard,"n.明信片,风景明信片",`postˌkɑrd,ˈpoustkɑ:d,,,unit-19
postman,n.邮差,`postmən,ˈpoustmən,,,unit-19
pot,"n.罐,壶v.罐装",pɑt,pɔt,,,unit-19
potato,n.马铃薯,pə`teto,pəˈteitou,,,unit-19
pour,"v.灌注,倾泻,涌入,流,倾盆大雨","por,pɔr,pʊr",pɔ:,,,unit-19
practice,"n.实行,实践,实际,惯例,习惯,练习,实习,开业",`præktɪs,ˈpræktis,,,unit-19
prepare,"v.准备,预备,有能力而且愿意",prɪ`pɛr,priˈpɛə,,,unit-19
present,"n.赠品,礼物,现在,瞄准adj.现在的,出席的,当面的vt.介绍,引见,给,赠送,上演,提出,呈现vi.举枪瞄准",`prɛznt,ˈpreznt,,,unit-19
president,"n.总统,会长,校长,行长",`prɛzədənt,ˈprezidənt,,,unit-19
press,"n.压,按,印刷,压力,拥挤,紧握,新闻vt.压,压榨,紧抱,逼迫vi.压,逼迫,拥挤,受压",prɛs,pres,,,unit-19
pretty,"adj.漂亮的,可爱的,优美的,机灵的,恰当的",`prɪtɪ,ˈpriti,,,unit-19
price,"n.价格,价钱,代价vt.给...定价,问...的价格,标明价格",praɪs,prais,,,unit-19
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的","`praɪˌmɛrɪ,_mərɪ",ˈpraiməri,,,unit-19
prince,n.王子,prɪns,prins,,,unit-19
print,"n.版,印刷物,印迹,印章,印刷业,照片v.印刷,出版,印于,用印刷体写 [计]打印",prɪnt,print,,,unit-19
prize,"n.奖赏,奖金,奖品,捕获,捕获物,战利品adj.得奖的vt.珍视,估价,捕获,撬,撬开",praɪz,praiz,,,unit-19
problem,"n.问题,难题",`prɑbləm,ˈprɔbləm,,,unit-19
programme,"n.v.=program 程序,编程","`progræm,_grəm",ˈprouɡræm,,,unit-19
project,"n.计划,方案,事业,企业,工程v.设计,计划,投射,放映,射出,发射(导弹等),凸出","`prɑdʒɛkt,_dʒɪkt","ˈprɔdʒekt,_dʒikt",,,unit-19
protect,vt.保护 /n.保护/解除,prə`tɛkt,prəˈtekt,,,unit-19
proud,"adj.自豪的,得意的,骄傲的,妄自尊大的",,,,,unit-19
public,"n.公众,(特定的)人群,公共场所adj.公众的,公共的,公立的,公用的",`pʌblɪk,ˈpʌblik,,,unit-19
pudding,"n.布丁(一种以面粉,牛奶,鸡蛋等为基料的糊壮甜食)",`pʊdɪŋ,ˈpudiŋ,,,unit-19
pull,"v.拉,拖,拔n.拉,拖,拉力,牵引力",,,,,unit-19
pupil,"n.学生,小学生,瞳孔",`pjupl,"ˈpju:pl,_pil",,,unit-20
puppy,"n.(常指未满一岁的)小狗,小动物,自负的青年",`pʌpɪ,ˈpʌpi,,,unit-20
push,"n.推,推动,奋发,干劲,进取心,攻击vt.推,推动,推行,逼迫,增加vi.推,推进,增加,努力争取",,,,,unit-20
put,"vt.放,摆,安置,表达,迫使,移动,提出,赋予vi.出发,航行,发芽,击n.掷,投击,笨蛋,怪人 vbl.put的过去式和过去分词adj.固定不动的",,,,,unit-20
quarter,"n.四分之一,[常 pl.] 方向,地区,方面,季,季度,一刻钟 num.四分之一,刻",`kwɔrtɚ,ˈkwɔ:tə,,,unit-20
queen,"n.王后,女王",kwin,kwi:n,,,unit-20
question,"n.问题,疑问,询问v.询问,审问,怀疑",`kwɛstʃən,ˈkwestʃən,,,unit-20
queue,"n.行列,长队,队列vi.排队,排队等待",,,,,unit-20
quick,"adj.快的,迅速的,敏捷的,急剧的,活泼的adv.快n.活人,生物,要点,本质,核心,感觉敏锐的部位",kwɪk,kwik,,,unit-20
quiet,"adj.静止的,宁静的,从容的n.安静,闲适vi.平静下来vt.使平静,使安心,减轻(疑虑、恐惧等)",`kwaɪət,ˈkwaiət,,,unit-20
quite,"adv.相当,完全,十分,彻底",kwaɪt,kwait,,,unit-20
rabbit,"n.兔,野兔",`ræbɪt,ˈræbit,,,unit-20
race,"n.种族,种族气质,种族特征,赛跑,急流,姜根vi.赛跑,疾走vt.与...赛跑,使空转",res,reis,,,unit-20
radio,"n.<美>无线电通信,无线电接收装置,无线电广播设备v.用无线电发送",`redɪˌo,ˈreidiou,,,unit-20
rain,"n.雨,下雨,雨天vi.下雨vt.使大量落下,大量地给",ren,rein,,,unit-20
rainbow,"n.彩虹,五彩缤纷的排列,幻想,幻觉,虚无缥缈的东西adj.五彩缤纷的",`renˌbo,ˈreinbou,,,unit-20
rare,"adj.稀罕的,杰出的,珍贵的,(肉类)半熟的adv.非常",rɛr,rɛə,,,unit-20
rat,,,,,,unit-20
reach,"n.延伸,区域,河段,范围,(车子前后轴的)联接杆,横风行驶vt.到达,达到,伸出,影响vi.达到,延伸,伸出手,传开",ritʃ,ri,,,unit-20
read,"v.读,阅读,理解,学习adj.有学问的n.读取 vbl.read的过去式和过去分词",rid,ri:d,,,unit-20
ready,"adj.有准备的,准备完毕的,甘心的,情愿的,现成的,迅速的",`rɛdɪ,ˈredi,,,unit-20
real,"adj.真的,真实的,不动产的",,,,,unit-20
receive,"vt.收到,接到,接收,遭到,受到,接待,接见",rɪ`siv,riˈsi:v,,,unit-20
relative,"n.亲戚,关系词,相关物,亲缘植物adj.有关系的,相对的,比较而言的",`rɛlətɪv,ˈrelətiv,,,unit-20
remember,"vt.回忆起,铭记,纪念vi.记得",rɪ`mɛmbɚ,riˈmembə,,,unit-20
reply,"n.答复,报复,答辩vi.答复,回击,报复,答辩vt.回答",rɪ`plaɪ,riˈplai,,,unit-20
report,"n.报告,传说,谣言,声誉,名声,爆炸声v.报导,汇报,报到,告发","rɪ`port,_`pɔrt",riˈpɔ:t,,,unit-20
reporter,"n.记者,通讯员",,,,,unit-20
research,"n.研究,调查vi.研究,调查","`risʒtʃ,rɪ`sʒtʃ","ri:ˈsə:tʃ,ˈrisə:tʃ",,,unit-20
rest,"n.休息,静止,支持物,台,架,[音]休止符,其余,其他vi.休息,睡眠,静止,依靠,搁在,保持(状态),取决于vt.使休息,使静止,睡眠,依靠,搁在",rɛst,rest,,,unit-20
restaurant,"n.餐馆,饭店","`rɛstərənt,-ˌrɑnt","ˈrestərɔnt,_rənt",,,unit-20
retire,"vi.退休,引退,退却,撤退,就寝",rɪ`taɪr,riˈtaiə,,,unit-20
reuse,vt.再使用n.重新使用,ri`juz,ˌri:ˈju:z,,,unit-20
rich,"adj.富的,有钱的,富有的,富饶的,肥沃的,充足的,丰富的",rɪtʃ,ritʃ,,,unit-20
ride,"v.骑,乘n.骑,乘",raɪd,raid,,,unit-20
riddle,"n.谜,谜语,神秘人物v.解谜,出谜,迷惑",`rɪdl,ˈridl,,,unit-21
ring,"n.环,环形物,环状,铃声,声调,打电话,拳击场vt.包围,套住,按铃,敲钟vi.成环形,响,鸣,敲钟,回响,按铃",rɪŋ,riŋ,,,unit-21
river,"n.河,江",`rɪvɚ,ˈrivə,,,unit-21
road,"n.路,道路,公路,大道",,,,,unit-21
robber,"n.强盗,盗贼",`rɑbɚ,ˈrɔbə,,,unit-21
robot,"n.机器人,遥控设备,自动机械,机械般工作的人","`robət,_bɑt",ˈroubɔt,,,unit-21
rock,"n.岩石,暗礁,石头,摇动vt.摇摆,使动摇vi.摇,摇动",rɑk,rɔk,,,unit-21
role,"n.角色,任务",,,,,unit-21
roll,"adj.滚动,滚转,(使)摇摆,(使)摇晃,卷起,卷拢vt.辗,轧n.(一)卷,卷形物,摇晃,摆动,名单",,,,,unit-21
room,"n.房间,屋子,寓所,场所,地位,空间,机会,余地",,,,,unit-21
rooster,"n.雄禽,<主美>公鸡",`rustɚ,ˈru:stə,,,unit-21
rope,"n.绳,索,绳索v.围起",,,,,unit-21
round,"n.圆,圆形物,巡回,一轮;adj.圆的,丰满的,大概的,完全的,率直的;prep.围着,附近,绕过,在...周围;vt.弄圆,使成圆形,绕行,完成,四舍五入vi.变圆,发胖,环行,拐弯,进展;adv.围绕着,循环地,在周围,迂回地,朝反方向,挨个",,,,,unit-21
row,"n.排,行v.划(船)",,,,,unit-21
rubbish,"n.垃圾,废物,废话",`rʌbɪʃ,ˈrʌbiʃ,,,unit-21
ruler,"n.统治者,管理者,尺,直尺n.标尺,划线板,划线的人",`rulɚ,ˈru:lə,,,unit-21
run,"n.跑,赛跑,奔跑,运转,趋向vi.跑,奔,逃跑,竞选,跑步,蔓延,进行,行驶vt.使跑,参赛,追究,使流,管理,运行,开动adj.熔化的,融化的,浇铸的 vbl.run的过去式和过去分词",,,,,unit-21
sad,"adj.忧愁的,悲哀的",sæd,sæd,,,unit-21
safe,"n.保险箱,饭橱,菜橱,冷藏室adj.免受攻击的,安全的,可靠的,有把握的",sef,seif,,,unit-21
safety,"n.安全,保险,安全设备,保险装置",`seftɪ,ˈseifti,,,unit-21
salad,n.色拉,`sæləd,ˈsæləd,,,unit-21
sale,"n.出售,卖出,贱卖,廉价出售,销路,销售额",sel,seil,,,unit-21
same,"adj.同一的,相同的,无变化的,上述的,所谓 pron.同样的事物adv.同样地",sem,seim,,,unit-21
sand,"n.沙,沙子,[pl.] 沙滩,沙地v.撒沙子",sænd,sænd,,,unit-21
sandwich,"n.夹心面包,三明治vt.夹入中间v.做成三明治","`sændwɪtʃ,`sæn_","ˈsænwidʒ,_tʃ",,,unit-21
sandy,"adj.沙的,含沙的,沙质 Sandy 桑迪(男子名)",`sændɪ,ˈsændi,,,unit-21
sausage,"n.香肠,腊肠",`sɔsɪdʒ,ˈsɔsidʒ,,,unit-21
save,"vt.解救,保存,保全,保留,节省,储蓄vi.挽救,节省,救球 prep.除...之外n.救球 /v.[计]保存/更新",sev,seiv,,,unit-21
say,"v.说,讲,背诵,念,表示,比方说,假定n.话语,想说的意见,发言权",se,sei,,,unit-21
saying,"n.话,谚语",`seɪŋ,ˈseiiŋ,,,unit-21
scarf,"n.围巾,头巾领巾,嵌接,嵌接处,切口v.围(围巾),披(头巾)嵌接",skɑrf,skɑ:f,,,unit-21
school,"n.学校,学院,学习,授课,求学,全体学生,学派vt.锻炼,教育",,,,,unit-21
schoolbag,n.书包,,,,,unit-21
schoolmate,"n.同窗,同学",,,,,unit-21
science,"n.科学,自然科学,理科",`saɪəns,ˈsaiəns,,,unit-21
scissors,n.pl.剪刀,`sɪzɚz,ˈsizəz,,,unit-21
sea,"n.海洋,大浪,大量,许多",si,si:,,,unit-22
seafood,"n.海产食品,海味",,,,,unit-22
search,"n.搜寻,查究v.搜索,搜寻,探求,调查",sʒtʃ,sə:tʃ,,,unit-22
season,"n.季,季节v.(使)适应,(使)适用,调味",`sizn,ˈsi:zn,,,unit-22
seat,"n.座,座位,所在地,场所,席位vt.使坐下",sit,si:t,,,unit-22
secret,"n.秘密,秘诀,奥秘adj.秘密的,隐秘的,幽静的、",`sikrɪt,ˈsi:krit,,,unit-22
secretary,"n.秘书,书记,部长,大臣",`sɛkrəˌtɛrɪ,ˈsekrətri,,,unit-22
see,"v.看,看见,了解,领会,注意,留心,经历,阅历",si,si:,,,unit-22
seed,"n.种子,萌芽,原由,根据,子孙,精液vt.播种,结实,成熟,去...籽vi.结实,播种",sid,si:d,,,unit-22
seek,"v.寻找,探索,寻求",sik,si:k,,,unit-22
sell,"v.出售,卖",sɛl,sel,,,unit-22
send,"vt.送,寄,发送,派遣,打发",sɛnd,send,,,unit-22
sentence,"n.句子,判决,宣判,文句vt.宜判,判决",`sɛntəns,ˈsentəns,,,unit-22
serious,"adj.严肃的,认真的,严重的",`sɪrɪəs,ˈsiəriəs,,,unit-22
